ID,League,Player,Team,Minutes,Goals,NPG,NPG/90,xG,NPxG,NPxG/90,NPxG Overperf,NP Shots,NP Shot Qual,NP Fin Ratio
914213,Portugal,Luis Javier Suárez,Sporting CP,2044,23,20,0.88,18.65,15.49,0.68,4.51,102,0.15,0.2
985823,Netherlands,Ayase Ueda,Feyenoord,1920,20,20,0.94,14.98,14.98,0.7,5.02,82,0.18,0.24
1146009,Denmark,Franculino Djú,FC Midtjylland,1220,16,15,1.11,10.22,9.43,0.7,5.57,41,0.23,0.37
918517,Scotland,Benjamin Nygren,Celtic,1855,15,15,0.73,10.71,10.71,0.52,4.29,71,0.15,0.21
295123,Turkey,Paul Onuachu,Trabzonspor,1884,20,14,0.67,14.64,9.11,0.44,4.89,62,0.15,0.23
791355,Turkey,Eldor Shomurodov,Başakşehir FK,2196,16,14,0.57,11.27,9.69,0.4,4.31,77,0.13,0.18
787422,Switzerland,Christian Fassnacht,BSC Young Boys,2145,15,14,0.59,11.73,10.15,0.43,3.85,69,0.15,0.2
1065210,Scotland,Tawanda Maswanhise,Motherwell,2104,16,13,0.56,11.64,9.27,0.4,3.73,66,0.14,0.2
918481,Poland,Tomáš Bobček,KS Lechia Gdańsk,1772,14,13,0.66,12.76,11.97,0.61,1.03,79,0.15,0.16
1408406,Switzerland,Alessandro Vogt,FC St. Gallen 1879,1914,14,13,0.61,10.08,9.29,0.44,3.71,75,0.12,0.17
1149146,Netherlands,Mika Godts,AFC Ajax,1982,13,13,0.59,8.22,8.22,0.37,4.78,62,0.13,0.21
930246,Portugal,Yanis Begraoui,Estoril Praia,1957,17,12,0.55,11.3,7.35,0.34,4.65,54,0.14,0.22
359236,Switzerland,Chris Bedia,BSC Young Boys,1687,15,12,0.64,12.77,10.4,0.55,1.6,47,0.22,0.26
995773,Croatia,Dion Drena Beljo,GNK Dinamo Zagreb,1674,14,12,0.65,13.24,11.66,0.63,0.34,61,0.19,0.2
233114,Turkey,Mauro Icardi,Galatasaray,1022,13,12,1.06,9.8,9.01,0.79,2.99,51,0.18,0.24
845798,Netherlands,Guus Til,PSV Eindhoven,1699,12,12,0.64,7.28,7.28,0.39,4.72,51,0.14,0.24
1200389,Scotland,Cláudio Braga,Heart of Midlothian,2196,12,12,0.49,11.18,11.18,0.46,0.82,76,0.15,0.16
795236,Portugal,Vangelis Pavlidis,Benfica,2121,20,11,0.47,17.54,10.43,0.44,0.57,65,0.16,0.17
188307,Czechia,Tomáš Chorý,SK Slavia Praha,1406,16,11,0.7,10.71,6.76,0.43,4.24,58,0.12,0.19
314380,Portugal,Ricardo Horta,Sporting Braga,1659,13,11,0.6,9.25,6.88,0.37,4.12,44,0.16,0.25
1006858,Poland,Karol Czubak,Motor Lublin,1712,13,11,0.58,10.09,8.51,0.45,2.49,61,0.14,0.18
966555,Netherlands,Troy Parrott,AZ Alkmaar,1721,13,11,0.58,14.75,10.8,0.56,0.2,65,0.17,0.17
1063767,Netherlands,Ismael Saibari,PSV Eindhoven,1775,12,11,0.56,10.82,10.03,0.51,0.97,76,0.13,0.14
1177167,Belgium,Nicolò Tresoldi,Club Brugge KV,1643,11,11,0.6,9.04,9.04,0.5,1.96,62,0.15,0.18
361004,Turkey,Marco Asensio,Fenerbahçe,1723,11,11,0.57,5.31,5.31,0.28,5.69,59,0.09,0.19
164171,Switzerland,Kevin Behrens,FC Lugano,1938,11,11,0.51,9.59,9.59,0.45,1.41,51,0.19,0.22
1084939,Switzerland,Elmin Rastoder,FC Thun,2058,11,11,0.48,7.56,7.56,0.33,3.44,52,0.15,0.21
865650,Switzerland,Rilind Nivokazi,FC Sion,2239,11,11,0.44,13.29,12.5,0.5,-1.5,80,0.16,0.14
919793,Greece,Ayoub El Kaabi,Olympiacos FC,1567,15,10,0.57,13.51,9.56,0.55,0.44,64,0.15,0.16
319129,Greece,Luka Jović,AEK Athens,1713,13,10,0.53,13.56,9.61,0.5,0.39,63,0.15,0.16
840521,Poland,Jonatan Braut Brunes,Raków Częstochowa,1647,12,10,0.55,10.41,8.83,0.48,1.17,53,0.17,0.19
822471,Turkey,Victor Osimhen,Galatasaray,1374,11,10,0.66,12.24,11.45,0.75,-1.45,70,0.16,0.14
855847,Netherlands,Kaj Sierhuis,Fortuna Sittard,1554,10,10,0.58,8.15,8.15,0.47,1.85,65,0.13,0.15
909318,Turkey,Mohamed Bayo,Gaziantep FK,1632,10,10,0.55,9.68,8.89,0.49,1.11,44,0.2,0.23
580658,Croatia,Smail Prevljak,NK Istra 1961,1638,10,10,0.55,7.04,7.04,0.39,2.96,40,0.18,0.25
1106681,Turkey,Felipe Augusto,Trabzonspor,1638,10,10,0.55,4.77,4.77,0.26,5.23,41,0.12,0.24
1182939,Denmark,Noah Ganaus,Odense Boldklub,1751,10,10,0.51,8.21,8.21,0.42,1.79,50,0.16,0.2
1123460,Denmark,Tobias Bech,AGF,1832,10,10,0.49,8.06,8.06,0.4,1.94,69,0.12,0.14
175177,Poland,Jesús Imaz,Jagiellonia Białystok,1866,10,10,0.48,8.71,8.71,0.42,1.29,70,0.12,0.14
